date,team,opponent,odds,grade,ev,units,result,profit
2025-11-27,Illinois State,Charlotte,-220,F,-9.3%,N/A,WIN,0.23u
2025-11-27,San Francisco,Colorado,-120,D,-2.4%,N/A,WIN,0.42u
2025-11-27,Colorado State,Wichita State,-120,A+,25.0%,N/A,WIN,4.17u
2025-11-27,Dayton,Georgetown,132,A+,16.3%,N/A,WIN,6.60u
2025-11-27,Georgetown,Dayton,-105,D,-1.1%,N/A,LOSS,-0.50u
2025-11-27,Stanford,Minnesota,-125,A+,11.2%,N/A,LOSS,-5.00u
2025-11-27,Washington,Nevada,-210,F,-11.6%,N/A,WIN,0.24u
2025-11-27,Michigan State,North Carolina,-125,C,-6.9%,N/A,WIN,0.40u
2025-11-27,Northwestern,Oklahoma State,-140,F,-12.3%,N/A,LOSS,-0.50u
2025-11-27,Creighton,Oregon,115,A+,20.1%,N/A,WIN,5.75u
2025-11-27,Wisconsin,Providence,-250,A+,16.1%,N/A,WIN,2.00u
2025-11-27,Richmond,Furman,-170,F,-3.0%,N/A,LOSS,-0.50u
2025-11-27,Santa Clara,Saint Louis,115,A+,10.8%,N/A,LOSS,-5.00u
2025-11-27,St. Bonaventure,East Carolina,-455,F,-13.2%,N/A,WIN,0.11u
2025-11-27,Florida,Tcu,-1000,D,-2.1%,N/A,LOSS,-0.50u
2025-11-27,Rutgers,Unlv,150,A+,25.0%,N/A,WIN,7.50u
2025-11-27,Vanderbilt,Virginia Commonwealth,-250,F,-16.1%,N/A,WIN,0.20u
2025-11-27,Saint Mary's,Virginia Tech,-180,A+,18.6%,N/A,WIN,2.78u
2025-11-28,Clemson,Alabama A&M,-30000,D,-2.1%,N/A,WIN,0.00u
2025-11-28,Ball State,Monmouth,148,A+,25.0%,N/A,LOSS,-5.00u
2025-11-28,BYU,Dayton,-500,F,-18.2%,N/A,WIN,0.10u
2025-11-28,Cal State Northridge,Idaho State,-105,A+,16.4%,1,LOSS,-1.00u
2025-11-28,South Carolina,Charleston Southern,-2500,F,-10.3%,N/A,WIN,0.02u
2025-11-28,Youngstown State,Chicago State,-1200,F,-8.0%,N/A,WIN,0.04u
2025-11-28,Missouri,Cleveland State,-50000,F,-4.7%,N/A,WIN,0.00u
2025-11-28,Colgate,Albany,-275,B+,0.1%,N/A,WIN,0.73u
2025-11-28,Georgia Tech,DePaul,105,A+,21.2%,N/A,LOSS,-5.00u
2025-11-28,LSU,Drake,-700,F,-19.0%,N/A,WIN,0.14u
2025-11-28,Illinois State,Furman,-190,D,-1.1%,N/A,WIN,0.26u
2025-11-28,Hofstra,La Salle,-140,F,-9.1%,N/A,WIN,0.36u
2025-11-28,Connecticut,Illinois,-165,F,-9.3%,N/A,WIN,0.30u
2025-11-28,Louisiana,Jackson State,-245,F,-18.7%,N/A,LOSS,-0.50u
2025-11-28,Lafayette,Le Moyne,-200,C,2.8%,N/A,LOSS,-0.50u
2025-11-28,American University,Maine,-290,F,-18.4%,N/A,WIN,0.17u
2025-11-28,Pennsylvania,Merrimack,-156,F,-13.4%,N/A,WIN,0.32u
2025-11-28,Georgetown,Miami (FL),198,A+,25.0%,N/A,LOSS,-5.00u
2025-11-28,Santa Clara,Minnesota,-225,B,-6.0%,N/A,WIN,0.66u
2025-11-28,NC-Wilmington,Navy,-360,F,-4.7%,3,WIN,0.83u
2025-11-28,San Francisco,Nevada,-230,F,-15.8%,N/A,LOSS,-0.50u
2025-11-28,Tulane,Nicholls State,-450,F,-7.4%,N/A,WIN,0.11u
2025-11-28,Wake Forest,Northeastern,-2500,F,-2.8%,N/A,WIN,0.02u
2025-11-28,Davidson,North Carolina A&T,-1400,F,-10.3%,N/A,WIN,0.04u
2025-11-28,Ohio State,Pittsburgh,-220,F,-11.5%,N/A,LOSS,-0.50u
2025-11-28,Marquette,Oklahoma,110,A+,22.8%,N/A,LOSS,-5.00u
2025-11-28,Florida,Providence,-670,B,-0.3%,N/A,WIN,0.22u
2025-11-28,Virginia,Queens University of Charlotte,-10000,F,-13.5%,N/A,WIN,0.01u
2025-11-28,Richmond,Charlotte,-280,F,-18.4%,N/A,WIN,0.18u
2025-11-28,Sam Houston State,Idaho,-110,A+,10.0%,N/A,WIN,4.55u
2025-11-28,Siena,Longwood,-250,F,-18.9%,N/A,WIN,0.20u
2025-11-28,Mississippi State,SMU,-102,A+,10.1%,N/A,LOSS,-5.00u
2025-11-28,Southeastern Louisiana,Gardner-Webb,-245,C,0.7%,3,WIN,1.22u
2025-11-28,Robert Morris,Southern Utah,-420,B+,5.1%,N/A,WIN,0.48u
2025-11-28,Colorado State,South Florida,114,A+,25.0%,N/A,WIN,5.70u
2025-11-28,Saint Louis,Stanford,-180,F,-20.4%,N/A,LOSS,-0.50u
2025-11-28,Loyola Marymount,Stony Brook,-550,F,-4.4%,3.5,LOSS,-3.50u
2025-11-28,Seattle,Texas State,-290,F,-2.3%,N/A,WIN,0.17u
2025-11-28,UC Santa Barbara,Lehigh,-600,F,-14.0%,N/A,WIN,0.08u
2025-11-28,Saint Mary's,Vanderbilt,150,A+,25.0%,N/A,LOSS,-5.00u
2025-11-28,Virginia Tech,Virginia Commonwealth,126,A+,20.2%,N/A,LOSS,-5.00u
2025-11-28,Colorado,Washington,158,A+,25.0%,N/A,WIN,7.90u
2025-11-28,Wichita State,Western Kentucky,-250,B,-5.2%,N/A,LOSS,-1.50u
2025-11-28,Wisconsin,TCU,-270,F,-4.3%,N/A,LOSS,-1.00u
2025-11-28,Butler,Wright State,-1600,F,-4.8%,N/A,WIN,0.03u
2025-11-29,South Dakota,Air Force,-165,D,2.0%,N/A,WIN,0.30u
2025-11-29,Fordham,Albany,-250,F,-3.2%,N/A,LOSS,-0.50u
2025-11-29,Southern Illinois,Arkansas-Little Rock,-1100,F,-18.3%,N/A,WIN,0.05u
2025-11-29,Ball State,Lafayette,-125,F,-2.4%,N/A,LOSS,-0.50u
2025-11-29,Indiana,Bethune-Cookman,-20000,F,-3.4%,N/A,WIN,0.00u
2025-11-29,Northern Kentucky,Boston University,-230,D,-1.6%,N/A,WIN,0.22u
2025-11-29,Harvard,Bryant University,-380,F,-24.4%,N/A,WIN,0.13u
2025-11-29,Buffalo,Canisius,-375,F,-7.9%,N/A,WIN,0.13u
2025-11-29,Oregon State,California Baptist,-110,A+,14.5%,N/A,LOSS,-1.00u
2025-11-29,East Tennessee State,Central Arkansas,-600,F,-6.3%,N/A,WIN,0.08u
2025-11-29,Dartmouth,Saint Peter's,104,A+,4.3%,N/A,WIN,5.20u
2025-11-29,UMBC,Delaware State,-900,F,-25.5%,N/A,WIN,0.06u
2025-11-29,LSU,DePaul,-250,C,-1.7%,N/A,WIN,0.20u
2025-11-29,Niagara,Detroit Mercy,120,A+,17.2%,N/A,LOSS,-5.00u
2025-11-29,NC-Wilmington,Gardner-Webb,-3000,F,-11.3%,1,WIN,0.03u
2025-11-29,Georgia Tech,Drake,-170,F,-9.1%,N/A,WIN,0.29u
2025-11-29,Georgia Southern,Houston Christian,-280,F,-11.4%,N/A,WIN,0.18u
2025-11-29,Mount St. Mary's,Howard,-135,A+,17.5%,N/A,WIN,3.70u
2025-11-29,George Mason,James Madison,-715,F,-7.1%,N/A,WIN,0.07u
2025-11-29,Weber State,Kansas City,-625,F,-16.1%,N/A,WIN,0.08u
2025-11-29,Pennsylvania,La Salle,-167,F,-11.7%,N/A,WIN,0.30u
2025-11-29,Southeast Missouri State,Lipscomb,-130,F,-0.2%,N/A,LOSS,-0.50u
2025-11-29,Longwood,Maine,-200,D,-2.5%,N/A,LOSS,-0.50u
2025-11-29,Manhattan,Army,-120,A+,23.6%,N/A,LOSS,-5.00u
2025-11-29,Elon,Mercer,-120,A+,19.9%,N/A,LOSS,-5.00u
2025-11-29,Hofstra,Merrimack,-225,F,-13.4%,N/A,WIN,0.22u
2025-11-29,Akron,Milwaukee,-1000,F,-5.3%,N/A,WIN,0.05u
2025-11-29,Monmouth,Le Moyne,-300,F,-9.6%,N/A,LOSS,-0.50u
2025-11-29,Utah State,Montana State,-3000,F,-3.8%,N/A,WIN,0.02u
2025-11-29,IUPUI,Morehead State,-143,A,5.9%,N/A,WIN,2.80u
2025-11-29,Pepperdine,Cal State Fullerton,-120,A+,12.5%,N/A,LOSS,-5.00u
2025-11-29,Pacific,Sacramento State,-550,F,-22.2%,N/A,WIN,0.18u
2025-11-29,Penn State,Sacred Heart,-1400,F,-2.7%,N/A,WIN,0.07u
2025-11-29,Seattle,UC Santa Barbara,-160,F,-5.6%,N/A,LOSS,-0.50u
2025-11-29,Siena,American University,-135,A+,5.8%,N/A,WIN,3.70u
2025-11-29,Navy,Southeastern Louisiana,-120,F,-6.1%,N/A,LOSS,-0.50u
2025-11-29,Northwestern State,Southern University,150,A+,25.0%,N/A,LOSS,-5.00u
2025-11-29,Winthrop,South Carolina State,-3000,F,-18.5%,N/A,WIN,0.02u
2025-11-29,Stephen F. Austin,Texas-Arlington,100,C,1.1%,N/A,LOSS,-0.50u
2025-11-29,Texas State,Lehigh,-250,F,-14.0%,N/A,LOSS,-0.50u
2025-11-29,Utah Tech,UC Riverside,-190,F,-3.6%,N/A,WIN,0.26u
2025-11-29,Nebraska,USC Upstate,-10000,F,-20.1%,N/A,WIN,0.01u
2025-11-29,UCF,Virginia Military,-20000,F,-11.2%,N/A,WIN,0.00u
2025-11-29,High Point,Western Carolina,-1430,F,-8.9%,N/A,WIN,0.03u
2025-11-29,Valparaiso,Western Michigan,-195,D,-2.1%,N/A,WIN,0.26u
2025-11-29,Eastern Kentucky,Wofford,110,A+,7.9%,N/A,LOSS,-5.00u
2025-11-30,Coastal Carolina,Alabama A&M,-300,C,-8.3%,3.5,WIN,1.17u
2025-11-30,UNC Asheville,Appalachian State,-120,A,0.8%,0.5,WIN,1.67u
2025-11-30,Belmont,Charleston,-155,C,-0.2%,1.5,WIN,0.97u
2025-11-30,Indiana,Bethune-Cookman,-20000,C,-3.4%,1,WIN,0.00u
2025-11-30,Fresno State,Cal State Bakersfield,-700,C,-9.8%,3,LOSS,-3.00u
2025-11-30,Presbyterian,Citadel,-340,C,-5.3%,3.5,WIN,1.02u
2025-11-30,Colgate,Fordham,-115,A,7.8%,2,WIN,1.74u
2025-11-30,Loyola (MD),Coppin State,-900,C,-5.5%,3,WIN,0.33u
2025-11-30,Cornell,Bucknell,-275,C,-14.3%,3.5,WIN,1.27u
2025-11-30,Hofstra,Pennsylvania,-115,A,-4.6%,0.5,WIN,1.74u
2025-11-30,Pennsylvania,Hofstra,105,A,4.1%,2,LOSS,-1.00u
2025-11-30,Ball State,Le Moyne,125,A,25.0%,2,WIN,2.50u
2025-11-30,American University,Longwood,-165,C,-14.6%,1.5,WIN,0.91u
2025-11-30,Siena,Maine,-700,C,-9.7%,3,WIN,0.43u
2025-11-30,West Virginia,Mercyhurst,-6600,C,-4.0%,1,WIN,0.02u
2025-11-30,La Salle,Merrimack,-157,C,-2.7%,1.5,LOSS,-1.50u
2025-11-30,Monmouth,Lafayette,-139,C,-11.7%,0.5,WIN,0.36u
2025-11-30,Fairfield,New Hampshire,-750,C,-2.8%,3,WIN,0.40u
2025-11-30,William & Mary,Old Dominion,-305,C,-10.2%,3.5,WIN,1.15u
2025-11-30,North Texas,Prairie View A&M,-2200,C,-4.6%,1,WIN,0.05u
2025-11-30,Saint Joseph's (PA),Princeton,-220,C,-4.1%,3.5,WIN,1.59u
2025-11-30,San Diego,Long Beach State,-140,C,-9.9%,0.5,LOSS,-0.50u
2025-11-30,South Alabama,UTSA,-128,C,-1.6%,0.5,WIN,0.39u
2025-11-30,Florida Atlantic,St. Bonaventure,-138,A,7.0%,2,LOSS,-2.00u
2025-11-30,Robert Morris,Stetson,-950,C,-3.3%,3,WIN,0.32u
2025-11-30,Quinnipiac,Stonehill,-1430,C,-6.1%,1,WIN,0.07u
2025-11-30,Chattanooga,Tennessee State,-400,C,-4.9%,3.5,LOSS,-3.50u
2025-11-30,UC Irvine,San Jose State,-145,C,-10.9%,0.5,WIN,0.34u
2025-11-30,Texas Tech,Wyoming,-3335,C,-3.7%,1,WIN,0.03u
2025-11-30,Yale,Vermont,-285,B,2.5%,3,WIN,1.05u
2025-12-01,Kansas State,Bowling Green,-950,C,-1.1%,3,LOSS,-3.00u
2025-12-01,Colorado,California Baptist,-835,C,-7.1%,3,WIN,0.12u
2025-12-01,Iona,Delaware,-125,C,-8.5%,0.5,WIN,0.40u
2025-12-01,McNeese State,Incarnate Word,-450,C,-10.6%,3.5,LOSS,-3.50u
2025-12-01,Jacksonville State,North Alabama,-250,C,-9.7%,3.5,LOSS,-3.50u
2025-12-01,Stanford,Portland,-2200,C,-3.8%,1,WIN,0.05u
2025-12-01,Xavier,St. Francis (PA),-20000,C,-3.1%,1,WIN,0.01u
2025-12-01,Cincinnati,Tarleton State,-2800,C,-12.3%,1,WIN,0.04u
2025-12-01,Villanova,Temple,-1300,C,-6.0%,1,WIN,0.08u
2025-12-01,UAB,Middle Tennessee,-170,C,-6.2%,1.5,LOSS,-1.50u
2025-12-01,Troy,West Georgia,-3000,C,-10.6%,1,LOSS,-1.00u
2025-12-02,Pepperdine,Abilene Christian,-110,C,1.5%,0.5,LOSS,-0.50u
2025-12-02,Rhode Island,Brown,-1000,C,-3.5%,3,WIN,0.30u
2025-12-02,Penn State,Campbell,-1100,C,-7.1%,1,WIN,0.09u
2025-12-02,Loyola Chicago,Central Michigan,-285,C,-5.7%,3.5,WIN,1.23u
2025-12-02,Tennessee-Martin,Charleston Southern,-220,A,5.3%,5,WIN,2.78u
2025-12-02,Kansas,Connecticut,108,A,11.8%,2,LOSS,-2.00u
2025-12-02,George Mason,Cornell,-600,C,-8.6%,3,WIN,0.50u
2025-12-02,Butler,Eastern Michigan,-2400,C,-5.4%,1,WIN,0.04u
2025-12-02,Dayton,East Tennessee State,-700,C,-9.4%,3,WIN,0.43u
2025-12-02,Providence,Fairleigh Dickinson,-30000,C,-3.0%,1,WIN,0.00u
2025-12-02,Jacksonville,Florida A&M,-625,C,-9.3%,3,WIN,0.16u
2025-12-02,Duke,Florida,-365,C,-19.6%,3.5,WIN,0.96u
2025-12-02,George Washington,Army,-4500,C,-4.3%,1,WIN,0.02u
2025-12-02,Georgia,Florida State,-128,A,15.2%,2,WIN,1.56u
2025-12-02,Mercer,Georgia State,-625,C,-9.7%,3,WIN,0.48u
2025-12-02,Tulane,Grambling State,-770,C,-3.6%,3,WIN,0.39u
2025-12-02,North Texas,Houston Christian,-950,C,-2.0%,3,WIN,0.32u
2025-12-02,Michigan State,Iowa,-225,C,-12.3%,3.5,WIN,1.56u
2025-12-02,Kennesaw State,Jackson State,-1100,C,-9.5%,1,WIN,0.09u
2025-12-02,Lehigh,Binghamton,-180,C,-1.3%,1.5,LOSS,-1.50u
2025-12-02,Northern Illinois,Lindenwood,-220,C,-5.6%,3.5,LOSS,-3.50u
2025-12-02,East Carolina,Maryland-Eastern Shore,-1300,C,-1.5%,1,WIN,0.08u
2025-12-02,Ole Miss,Miami (FL),-184,A,4.3%,5,LOSS,-5.00u
2025-12-02,Missouri,Notre Dame,126,A,25.0%,2,LOSS,-2.00u
2025-12-02,Murray State,Morehead State,-2000,C,-4.6%,1,WIN,0.05u
2025-12-02,New Mexico State,South Alabama,-132,B,2.2%,5,LOSS,-5.00u
2025-12-02,Creighton,Nicholls State,-2500,C,-0.9%,1,WIN,0.04u
2025-12-02,Kentucky,North Carolina,-260,B,3.1%,3,LOSS,-1.00u
2025-12-02,Wake Forest,Oklahoma,-195,C,0.2%,1.5,LOSS,-1.50u
2025-12-02,Purdue,Rutgers,-1430,C,-25.6%,1,WIN,0.07u
2025-12-02,Baylor,Sacramento State,-10000,C,-2.5%,1,WIN,0.01u
2025-12-02,Saint Louis,Loyola Marymount,-270,C,-4.5%,2.5,WIN,0.93u
2025-12-02,Oklahoma State,Sam Houston State,-1200,C,-22.0%,1,WIN,0.08u
2025-12-02,SIU-Edwardsville,North Florida,-360,C,-16.7%,3.5,WIN,0.97u
2025-12-02,Grand Canyon,Stetson,-10000,C,-8.1%,1,WIN,0.01u
2025-12-02,Bryant University,Stonehill,-275,C,-2.0%,3.5,WIN,1.27u
2025-12-02,Tennessee,Syracuse,-390,C,-27.1%,3.5,LOSS,-3.50u
2025-12-02,Arkansas State,Texas-Arlington,-180,A,4.5%,5,WIN,2.78u
2025-12-02,Texas A&M,Pittsburgh,-155,C,-4.1%,1.5,WIN,0.97u
2025-12-02,Nevada,UC San Diego,-194,C,-10.8%,1.5,WIN,0.52u
2025-12-02,UNC Asheville,UNC Greensboro,-195,C,-4.1%,1.5,WIN,0.77u
2025-12-02,USC,Oregon,-129,C,-5.4%,1.5,WIN,1.16u
2025-12-02,California,Utah,-450,C,-6.7%,3.5,WIN,0.22u
2025-12-02,Marquette,Valparaiso,-2400,C,-6.0%,1,WIN,0.04u
2025-12-02,Virginia Tech,South Carolina,105,A,4.7%,2,WIN,2.10u
2025-12-02,Maryland,Wagner,-8000,C,-4.9%,1,WIN,0.01u
2025-12-02,Bradley,Washington State,-320,C,-11.7%,3.5,WIN,1.09u
2025-12-02,Drake,Western Illinois,-3000,C,-5.0%,1,WIN,0.03u
2025-12-02,Duquesne,William & Mary,-275,C,-1.9%,3.5,LOSS,-3.50u
2025-12-02,Winthrop,LIU,-250,C,-2.8%,3.5,WIN,1.40u
2025-12-03,Arkansas-Little Rock,Central Arkansas,110,C,13.3%,3,LOSS,-0.50u
2025-12-03,Central Arkansas,Arkansas-Little Rock,-130,C,-6.8%,3,WIN,0.77u
2025-12-03,Illinois-Chicago,Arkansas-Pine Bluff,-3000,C,-7.1%,3,LOSS,-1.00u
2025-12-03,Kent State,Austin Peay,-390,A,4.6%,4,WIN,0.77u
2025-12-03,Evansville,Ball State,-270,C,-0.1%,3,WIN,1.30u
2025-12-03,Akron,Bucknell,-7000,C,-5.0%,3,WIN,0.01u
2025-12-03,BYU,California Baptist,-4500,C,-23.0%,3,LOSS,-1.00u
2025-12-03,Seton Hall,Central Connecticut State,-2800,C,-9.1%,3,WIN,0.04u
2025-12-03,Alabama,Clemson,-650,C,-27.4%,3,WIN,0.46u
2025-12-03,Northern Kentucky,Cleveland State,-455,C,-7.1%,3,WIN,0.77u
2025-12-03,Coastal Carolina,USC Upstate,-105,C,3.7%,3,LOSS,-0.50u
2025-12-03,USC Upstate,Coastal Carolina,-114,C,-0.5%,3,WIN,0.88u
2025-12-03,Towson,Cornell,-230,C,-16.3%,3,WIN,1.52u
2025-12-03,American University,Drexel,-180,C,-4.2%,4,WIN,0.83u
2025-12-03,Illinois State,Eastern Kentucky,-770,C,-9.8%,3,WIN,0.39u
2025-12-03,Denver,Eastern Washington,-160,B,3.5%,4,WIN,3.13u
2025-12-03,Florida Gulf Coast,Florida International,-115,A,4.6%,4,LOSS,-2.00u
2025-12-03,Elon,Furman,128,A,25.0%,3,LOSS,-2.00u
2025-12-03,Queens University of Charlotte,Gardner-Webb,-835,C,-2.0%,3,WIN,0.36u
2025-12-03,Massachusetts,Harvard,-190,C,-3.7%,4,WIN,0.79u
2025-12-03,Columbia,Hofstra,-125,C,-7.2%,3,WIN,0.40u
2025-12-03,Idaho State,Kansas City,-250,C,-0.5%,3,WIN,1.40u
2025-12-03,Indiana,Minnesota,-550,C,-6.8%,3,LOSS,-3.00u
2025-12-03,Detroit Mercy,IUPUI,-185,C,-11.2%,2,WIN,1.08u
2025-12-03,Lamar,Louisiana,-425,C,-3.1%,3,WIN,0.82u
2025-12-03,Georgia Southern,Louisiana Tech,-125,C,-9.2%,3,WIN,0.40u
2025-12-03,Louisville,Arkansas,-140,A,5.1%,4,LOSS,-2.00u
2025-12-03,Hampton,Loyola (MD),-230,A,5.0%,4,WIN,1.30u
2025-12-03,LSU,Boston College,-325,C,-2.5%,3,WIN,0.31u
2025-12-03,Ohio,Maine,-590,C,-0.3%,3,WIN,0.51u
2025-12-03,NC-Wilmington,Marshall,-400,C,-7.3%,3,WIN,0.88u
2025-12-03,Mississippi State,Georgia Tech,-140,A,9.9%,4,WIN,1.43u
2025-12-03,Louisiana-Monroe,Mississippi Valley State,-670,C,-4.9%,3,WIN,0.45u
2025-12-03,Navy,Delaware State,-770,C,-9.5%,3,WIN,0.39u
2025-12-03,Dartmouth,New Hampshire,-425,A,7.5%,4,WIN,0.71u
2025-12-03,Memphis,New Orleans,-2500,C,-7.2%,3,WIN,0.04u
2025-12-03,Northeastern,Holy Cross,-230,C,-3.9%,3,LOSS,-3.50u
2025-12-03,Northern Colorado,Nebraska-Omaha,-125,B,1.6%,3,WIN,4.00u
2025-12-03,Wisconsin,Northwestern,-450,C,-5.7%,3,WIN,0.78u
2025-12-03,San Francisco,North Alabama,-1400,C,-11.5%,3,LOSS,-1.00u
2025-12-03,James Madison,North Carolina Central,-1430,C,-1.4%,3,WIN,0.07u
2025-12-03,Auburn,North Carolina State,-260,C,-4.0%,3,WIN,1.35u
2025-12-03,Idaho,North Dakota,-455,C,-6.1%,3,WIN,0.77u
2025-12-03,Montana,North Dakota State,-150,A,6.7%,4,LOSS,-2.00u
2025-12-03,Weber State,Oral Roberts,-400,C,-8.9%,3,WIN,0.88u
2025-12-03,Pacific,Air Force,-235,C,-15.4%,3,WIN,1.49u
2025-12-03,Portland State,South Dakota,-124,C,N/A,3,WIN,0.40u
2025-12-03,Wofford,Presbyterian,-230,A,3.7%,4,WIN,1.30u
2025-12-03,Monmouth,Princeton,-220,C,-7.8%,3,WIN,1.59u
2025-12-03,Oakland,Purdue Fort Wayne,-320,C,-3.3%,3,WIN,1.09u
2025-12-03,Belmont,Richmond,-260,C,-2.1%,3,LOSS,-3.50u
2025-12-03,Mount St. Mary's,Sacred Heart,115,A,15.2%,3,LOSS,-1.00u
2025-12-03,Vanderbilt,SMU,-480,C,-24.3%,3,WIN,0.73u
2025-12-03,High Point,Southern Illinois,-475,C,-6.1%,3,LOSS,-3.50u
2025-12-03,Western Michigan,Southern Indiana,-250,B,2.8%,3,WIN,1.20u
2025-12-03,Radford,Southern Miss,-150,C,-3.3%,3,LOSS,-0.50u
2025-12-03,South Dakota State,Northern Arizona,-148,C,-15.6%,3,WIN,0.34u
2025-12-03,Montana State,St. Thomas (MN),-140,C,-6.5%,3,WIN,0.36u
2025-12-03,Tennessee State,Alabama A&M,-165,B,2.4%,4,LOSS,-5.00u
2025-12-03,Lipscomb,Tennessee Tech,-625,C,-9.1%,3,WIN,0.48u
2025-12-03,Stephen F. Austin,Texas Rio Grande Valley,-245,C,-0.5%,3,WIN,1.43u
2025-12-03,Rice,Texas State,-160,B,3.4%,4,WIN,3.13u
2025-12-03,UCLA,Washington,-110,B,2.4%,3,WIN,4.54u
2025-12-03,Georgetown,UMBC,-3335,C,-2.9%,3,WIN,0.03u
2025-12-03,Santa Clara,Utah Tech,-4500,C,-23.9%,3,WIN,0.02u
2025-12-03,San Diego State,Utah Valley,-425,C,-1.3%,3,WIN,0.24u
2025-12-03,Oregon State,Vermont,-140,A,6.6%,4,WIN,1.43u
