normalized_name,oddstrader_name,haslametrics_name,dratings_name,conference,ncaa_name,notes
Virginia Tech,Virginia Tech,Virginia Tech,Virginia Tech,TBD,Virginia Tech,✓
Wagner,Wagner,Wagner,Wagner Seahawks,TBD,Wagner,✓
Washington State,Washington State,Washington St.,Washington State,TBD,Washington State,MISSING_HASLA
Western Kentucky,Western Kentucky,W. Kentucky,Western Kentucky Hilltoppers,TBD,Western Kentucky,✓
Wichita State,Wichita State,Wichita State,Wichita State,TBD,Wichita State,✓
Wofford,Wofford,Wofford,Wofford Terriers,TBD,Wofford,✓
Wyoming,Wyoming,Wyoming,Wyoming,TBD,Wyoming,✓
Abilene Christian,,Abil. Christian,,TBD,Abilene Christian,hasla_only
Army,,Army,,TBD,Army,hasla_only
Austin Peay,,Austin Peay,,TBD,Austin Peay,hasla_only
Bellarmine,,Bellarmine,,TBD,Bellarmine,hasla_only
Bethune Cookman,,Bethune-Cookman,,TBD,Bethune Cookman,hasla_only
Boise State,,Boise State,,TBD,Boise St.,hasla_only
Boston U,,Boston U,,TBD,Boston U,hasla_only
Cal Baptist,,Cal Baptist,,TBD,Cal Baptist,hasla_only
Cal Poly,,,Cal Poly,TBD,Cal Poly,drate_only
California,,California,,TBD,California,hasla_only
California Golden,,,California Golden,TBD,California Golden,drate_only
Campbell,,Campbell,,TBD,Campbell,hasla_only
Cent. Arkansas,,Cent. Arkansas,,TBD,Cent. Arkansas,hasla_only
Chicago State,,Chicago State,,TBD,Chicago State,hasla_only
Coppin State,,Coppin State,,TBD,Coppin State,hasla_only
Creighton,Creighton,Creighton,Creighton Bluejays,TBD,Creighton,✓
Csu Bakersfield,,CSU Bakersfield,,TBD,Csu Bakersfield,hasla_only
Delaware,,Delaware,,TBD,Delaware,hasla_only
Drexel,,Drexel,,TBD,Drexel,hasla_only
E. Illinois,,E. Illinois,,TBD,E. Illinois,hasla_only
E. Washington,,E. Washington,,TBD,E. Washington,hasla_only
East Texas A&m,,East Texas A&M,,TBD,East Texas A&m,hasla_only
East Carolina,East Carolina,ECU,East Carolina Pirates,TBD,East Carolina,✓
Florida Atlantic,,FAU,,TBD,Florida Atlantic,hasla_only
Florida Gulf Coast,,FGCU,,TBD,Florida Gulf Coast,hasla_only
Florida State,,Florida State,,TBD,Florida State,hasla_only
Fort Wayne,,Fort Wayne,,TBD,Fort Wayne,hasla_only
Gardner Webb Runnin',,,Gardner Webb Runnin',TBD,Gardner Webb Runnin',drate_only
George Mason,,George Mason,,TBD,George Mason,hasla_only
George Washington,,G. Washington,,TBD,George Washington,hasla_only
Georgia Southern,,,Georgia Southern,TBD,Georgia Southern,drate_only
Grand Canyon,,Grand Canyon,,TBD,Grand Canyon,hasla_only
Grand Canyon Antelopes,,,Grand Canyon Antelopes,TBD,Grand Canyon Antelopes,drate_only
Hampton,,Hampton,,TBD,Hampton,hasla_only
Houston Christian,,Houston Christian,,TBD,Houston Christian,hasla_only
Indiana,,Indiana,,TBD,Indiana,hasla_only
Iowa,Iowa,Iowa,Iowa,TBD,Iowa,✓
Jacksonville,,Jacksonville,,TBD,Jacksonville,hasla_only
James Madison,,JMU,,TBD,James Madison,hasla_only
Kansas State,,Kansas State,,TBD,Kansas State,hasla_only
Kennesaw State,,Kennesaw State,,TBD,Kennesaw St.,hasla_only
Lehigh,,Lehigh,,TBD,Lehigh,hasla_only
Louisville,,,Louisville,TBD,Louisville,drate_only
Loyola Marymount,,Loyola Marymount,,TBD,Loyola Marymount,hasla_only
Loyola-chicago,,Loyola-Chicago,,TBD,Loyola-chicago,hasla_only
Marist,,Marist,,TBD,Marist,hasla_only
McNeese,,McNeese,,TBD,McNeese,hasla_only
Michigan State,Michigan State,Michigan State,Michigan State Spartans,TBD,Michigan State,✓
Miss. Valley St.,,Miss. Valley St.,,TBD,Miss. Valley St.,hasla_only
Missouri,,,Missouri,TBD,Missouri,drate_only
Montana,,,Montana,TBD,Montana,drate_only
Morgan State,,Morgan State,,TBD,Morgan State,hasla_only
Ms Valley State Delta Devils,,,Ms Valley State Delta Devils,TBD,Ms Valley State Delta Devils,drate_only
Mt. St. Mary's,,Mt. St. Mary's,,TBD,Mt. St. Mary's,hasla_only
MTSU,,MTSU,,TBD,MTSU,hasla_only
Murray State,,Murray State,,TBD,Murray State,hasla_only
N. Illinois,,N. Illinois,,TBD,N. Illinois,hasla_only
Nc Central,,NC Central,,TBD,Nc Central,hasla_only
Nebraska,,,Nebraska,TBD,Nebraska,drate_only
New Mexico St.,,New Mexico St.,,TBD,New Mexico St.,hasla_only
Njit,,,Njit,TBD,NJIT,drate_only
North Carolina,North Carolina,North Carolina,UNC Tar Heels,TBD,North Carolina,✓
North Texas,,North Texas,,TBD,North Texas,hasla_only
Northern Iowa,,Northern Iowa,,TBD,Northern Iowa,hasla_only
Oakland,,,Oakland,TBD,Oakland,drate_only
Ohio,,Ohio,,TBD,Ohio,hasla_only
Ohio State,,Ohio State,,TBD,Ohio State,hasla_only
Old Dominion,,Old Dominion,,TBD,Old Dominion,hasla_only
Ole Miss,,,Ole Miss,TBD,Ole Miss,drate_only
Omaha,,Omaha,,TBD,Omaha,hasla_only
Oral Roberts,,Oral Roberts,,TBD,Oral Roberts,hasla_only
Oregon,Oregon,Oregon,Oregon Ducks,TBD,Oregon,✓
Pacific,,Pacific,,TBD,Pacific,hasla_only
Penn State,,Penn State,,TBD,Penn State,hasla_only
Portland State,,Portland State,,TBD,Portland State,hasla_only
Princeton,,Princeton,,TBD,Princeton,hasla_only
Quinnipiac,,Quinnipiac,,TBD,Quinnipiac,hasla_only
Rhode Island,,URI,,TBD,Rhode Island,hasla_only
Rice,,Rice,,TBD,Rice,hasla_only
Rider,,Rider,,TBD,Rider,hasla_only
Rutgers,Rutgers,Rutgers,Rutgers Scarlet Knights,TBD,Rutgers,✓
S. Carolina St.,,S. Carolina St.,,TBD,S. Carolina St.,hasla_only
Samford,,Samford,,TBD,Samford,hasla_only
San Diego,,San Diego,,TBD,San Diego,hasla_only
San Jose State,,San Jose State,,TBD,San Jose St.,hasla_only
Se Missouri St.,,SE Missouri St.,,TBD,Se Missouri St.,hasla_only
Se Missouri State Redhawks,,,Se Missouri State Redhawks,TBD,Se Missouri State Redhawks,drate_only
South Carolina State,,,South Carolina State,TBD,South Carolina State,drate_only
South Dakota St.,,South Dakota St.,,TBD,South Dakota St.,hasla_only
St. Bonaventure,St. Bonaventure,St. Bonaventure,St. Bonaventure Bonnies,TBD,St. Bonaventure,✓
Stetson,,Stetson,,TBD,Stetson,hasla_only
Stony Brook,,Stony Brook,,TBD,Stony Brook,hasla_only
Temple,,Temple,,TBD,Temple,hasla_only
Tennessee St.,,Tennessee St.,,TBD,Tennessee St.,hasla_only
Texas A&m,,Texas A&M,,TBD,Texas A&m,hasla_only
Towson,,Towson,,TBD,Towson,hasla_only
Tulsa,,Tulsa,,TBD,Tulsa,hasla_only
UAB,,UAB,,TBD,UAB,hasla_only
Uc Irvine,,UC Irvine,,TBD,UC Irvine,hasla_only
Uc Irvine Anteaters,,,Uc Irvine Anteaters,TBD,Uc Irvine Anteaters,drate_only
UC San Diego,,UC San Diego,,TBD,UC San Diego,hasla_only
Ucf,,UCF,,TBD,Ucf,hasla_only
UCLA,,,UCLA,TBD,UCLA,drate_only
Uic,,,Uic,TBD,Uic,drate_only
Umass Lowell River,,,Umass Lowell River,TBD,Umass Lowell River,drate_only
Umes,,UMES,,TBD,Umes,hasla_only
Unc Asheville,,UNC Asheville,,TBD,Unc Asheville,hasla_only
UNC Greensboro,,UNCG,,TBD,UNC Greensboro,hasla_only
Unc Wilmington Seahawks,,,Unc Wilmington Seahawks,TBD,Unc Wilmington Seahawks,drate_only
UNLV,UNLV,UNLV,UNLV Rebels,TBD,UNLV,✓
Usc Upstate,,USC Upstate,,TBD,Usc Upstate,hasla_only
Utah,,Utah,,TBD,Utah,hasla_only
Utah Tech,,Utah Tech,,TBD,Utah Tech,hasla_only
Utah Tech Trailblazers,,,Utah Tech Trailblazers,TBD,Utah Tech Trailblazers,drate_only
Utah Utes,,,Utah Utes,TBD,Utah Utes,drate_only
Utah Valley,,Utah Valley,,TBD,Utah Valley,hasla_only
UTEP,,UTEP,,TBD,UTEP,hasla_only
Utsa,,,Utsa,TBD,Utsa,drate_only
Vcu,,,Vcu,TBD,Vcu,drate_only
Vermont,,Vermont,,TBD,Vermont,hasla_only
Villanova,,Villanova,,TBD,Villanova,hasla_only
VMI,,,VMI,TBD,VMI,drate_only
Wake Forest,,Wake Forest,,TBD,Wake Forest,hasla_only
Washington St.,,Washington St.,,TBD,Washington St.,hasla_only
William & Mary,,William & Mary,,TBD,William & Mary,hasla_only
Winthrop,,,Winthrop,TBD,Winthrop,drate_only
Wright State,,Wright State,,TBD,Wright State,hasla_only
FIU,FIU,FIU,FIU,TBD,FIU,✓
Grand Canyon,Grand Canyon,Grand Canyon,Grand Canyon Antelopes,TBD,Grand Canyon,✓
Loyola Chicago,Loyola Chicago,Loyola-Chicago,Loyola Chicago Ramblers,TBD,Loyola Chicago,✓
Miami,Miami,Miami (OH),Miami Redhawks,TBD,Miami,✓
Nebraska-omaha,Nebraska-omaha,Omaha,Omaha Mavericks,TBD,Nebraska-omaha,✓
Northern Arizona,Northern Arizona,N. Arizona,Northern Arizona,TBD,Northern Arizona,✓
Northern Iowa,Northern Iowa,Northern Iowa,Northern Iowa,TBD,Northern Iowa,✓
Ole Miss,Ole Miss,Ole Miss,Ole Miss,TBD,Ole Miss,✓
Oral Roberts,Oral Roberts,Oral Roberts,Oral Roberts,TBD,Oral Roberts,✓
Princeton,Princeton,Princeton,Princeton,TBD,Princeton,✓
Rhode Island,Rhode Island,URI,Rhode Island,TBD,Rhode Island,✓
Rice,Rice,Rice,Rice,TBD,Rice,✓
Samford,Samford,Samford,Samford,TBD,Samford,✓
San Jose State,San Jose State,San Jose State,San Jose State,TBD,San Jose St.,✓
South Dakota State,South Dakota State,South Dakota St.,South Dakota State Jackrabbits,TBD,South Dakota State,✓
Southeast Missouri State,Southeast Missouri State,SE Missouri St.,Se Missouri State Redhawks,TBD,Southeast Missouri State,✓
Temple,Temple,Temple,Temple,TBD,Temple,✓
Towson,Towson,Towson,Towson,TBD,Towson,✓
Tulsa,Tulsa,Tulsa,Tulsa Golden Hurricane,TBD,Tulsa,✓
UC San Diego,UC San Diego,UC San Diego,UC San Diego,TBD,UC San Diego,✓
UNC Greensboro,UNC Greensboro,UNCG,UNC Greensboro,TBD,UNC Greensboro,✓
Uc Irvine,Uc Irvine,UC Irvine,Uc Irvine Anteaters,TBD,UC Irvine,✓
Utah,Utah,Utah,Utah Utes,TBD,Utah,✓
Utah Valley,Utah Valley,Utah Valley,Utah Valley,TBD,Utah Valley,✓
Vermont,Vermont,Vermont,Vermont,TBD,Vermont,✓
Richmond,Richmond,Richmond,Richmond Spiders,TBD,Richmond,✓
Furman,Furman,Furman,Furman Paladins,TBD,Furman,✓
Charlotte,Charlotte,Charlotte,Charlotte 49ers,TBD,Charlotte,✓
Illinois State,Illinois State,Illinois State,Illinois State Redbirds,TBD,Illinois State,✓
Colorado,Colorado,Colorado,Colorado Buffaloes,TBD,Colorado,✓
San Francisco,San Francisco,San Francisco,San Francisco Dons,TBD,San Francisco,✓
TCU,TCU,TCU,TCU Horned Frogs,TBD,TCU,✓
Florida,Florida,Florida,Florida Gators,TBD,Florida,✓
Nevada,Nevada,Nevada,Nevada Wolf Pack,TBD,Nevada,✓
Washington,Washington,Washington,Washington Huskies,TBD,Washington,✓
BYU,BYU,BYU,Brigham Young Cougars,TBD,BYU,✓
Miami (FL),Miami (FL),Miami (FL),Miami Hurricanes,TBD,Miami (FL),✓
Providence,Providence,Providence,Providence Friars,TBD,Providence,✓
Wisconsin,Wisconsin,Wisconsin,Wisconsin Badgers,TBD,Wisconsin,✓
Saint Louis,Saint Louis,Saint Louis,Saint Louis Billikens,TBD,Saint Louis,✓
Santa Clara,Santa Clara,Santa Clara,Santa Clara Broncos,TBD,Santa Clara,✓
Georgetown,Georgetown,Georgetown,Georgetown Hoyas,TBD,Georgetown,✓
Dayton,Dayton,Dayton,Dayton Flyers,TBD,Dayton,✓
Arkansas,Arkansas,Arkansas,Arkansas Razorbacks,TBD,Arkansas,✓
Duke,Duke,Duke,Duke Blue Devils,TBD,Duke,✓
Minnesota,Minnesota,Minnesota,Minnesota Golden Gophers,TBD,Minnesota,✓
Stanford,Stanford,Stanford,Stanford Cardinal,TBD,Stanford,✓
Oklahoma State,Oklahoma State,Oklahoma State,Oklahoma State Cowboys,TBD,Oklahoma State,✓
Northwestern,Northwestern,Northwestern,Northwestern Wildcats,TBD,Northwestern,✓
 
